"Disclaimer: This dataset contains comments that are considered offensive, inflammatory, graphic or objectionable statement including but not limited to hate speech, explicit language. ",,,,,,,,,,
Comment_id,Comment,Profanity/Obscenity,Insult,Threatening,Identity-based negativity,Toxicity,Leaving Discussion,Explanation,Annotator_id,Pool_id
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,This comment is full of outrageous and offensive claims.,1,B
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,-1,-1,-2,-1,"This comment contains many instances of profanity (the n-word, reference to sexual terms such as ""penis"" and ""anal"", and the word ""ass""). There is insulting language used to describe progressives, Barrack Obama, and Muslims, calling them ""sex toys"" and making multiple statements about fornication with dogs, which is incredibly dehumanizing. The use of the n-word and offensive language towards Muslims makes this identity-based negativity. This is also clearly threatening because it refers to acts of sexual violence, as well as contains dehumanizing language about Obama and Muslims that is similar to language used to historically incite violence. Given all of that, this is very toxic and would make me leave the conversation.",2,B
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,"Very toxic comment with multiple stereotypes, profanities, and extremely inappropriate sexually explicit references. However, it isn't threatening.",3,B
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,doesn't make a lot of sense but still gross,4,B
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,"Crude, graphic, demeaning and profane against multiple identities",1,A
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,"The comment is extremely negative towards black people, muslims and 'progressives'. It associates them with deviant behavior, and contains lurid sexual innuendo. It is racist and islamophobic.",2,A
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,"Inflammatory against Muslims, Black people, and political progressives. Uses misspelled slur.",3,A
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,1,-1,-2,-1,This statement contains racial slurs and stereotypes.,4,A
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,-1,-1,-2,-1,awful,5,A
6180151,"MOST PETS of PROGRESSIVES are SEX TOYS for the FAMILY
NIGERS LOVE PIT BULL PENIS---
BARRACK said it TASTE LIKE CHICKEN
MIKE BARRACKS MATE said BARRACK COULD TAKE AN ANAL DB with DOGS THREE TIMES a DAY
EVERY CALL to PRAYERS EVERY MUSLUM OFFERS HIS ASS to the DOGS---
and THEY LOVE IT",-1,-1,-1,-1,-2,-1,Hugely insulting and profanity-laced.,6,A
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,0,1,1,0,1,"Calling chinese political leaders criminals is an insult, even if true.",1,B
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,0,1,1,1,1,"One individual could be considered to be insulted here given the phrase ""international criminal Jiang Zemin"", though without more background information on the subject matter it's not clear whether this is a universally accepted position or the specific opinion of the author, which would influence whether or not I considered it to be an insult. Apart from that, there is no profanity, threatening language, or identity-based negativity in this comment, which is mostly commentary on Chinese politics. Because the only potential issue here is an insult, which is ambiguous, I consider this to not be toxic and it would not cause me to leave the conversation.",2,B
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,-1,1,1,1,1,Insulting and criticizing former CCP General Secretary Jiang Zemin but not otherwise toxic.,3,B
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,0,1,0,0,1,I can't follow the nouns and subjects of this sentence,4,B
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,-1,1,1,1,1,somewhat strong language against Jiang Zemin but not to the level of toxic.,1,A
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,1,1,1,1,1,Not toxic,2,A
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,-1,1,1,-1,1,Exaggerates claims against Jiang Zemin (who has not been charged with any international crimes),3,A
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,-1,1,1,0,0,"This statement contains insults and insinuations about about a public figure. Depending on the forum, this may or may not drive someone to leave the discussion.",4,A
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,-1,1,-1,0,1,"this depends on context, but seems like political opinion",5,A
6170495,"""Power tends to corrupt, and absolute power corrupts absolutely.""

Chinese power politics will continue to be corruption by authority until international criminal Jiang Zemin remains as the senior party member.",1,-1,1,-1,-1,0,Insulting to Jiang Zemin.,6,A
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",1,1,1,1,-1,-1,"The dismissive tone and calling an article ""crap"" even if deserved is unpleseant to read.",1,B
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",-1,0,1,1,-1,0,"The term ""crap"" can be considered to be profane, but there are no obvious threats, or identity-based negativity. Whether or not it contains insults is a bit less clear, as the article is being criticized rather than the author, but this could be considered indirect criticism of the author's integrity. This is rude and disrespectful because of the language ""fake news"" and ""crap like this"", which makes it toxic, but it is not severe enough to be very toxic. I would maybe disengage from the conversation, but only if the author continued to be unreasonably rude.",2,B
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",-1,1,1,1,1,1,"Obscene because of including ""crap"" but not otherwise toxic, since it criticizes the article and publisher.",3,B
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",-1,1,1,1,1,1,respectfully calls someone out,4,B
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",-1,1,1,1,1,1,"just an opinion on some factual statements. somewhat strongly worded, but not toxic.",1,A
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",1,1,1,1,1,1,Not toxic,2,A
6137375,"This entire article is fake news. This didn't happen. Please stop publishing crap loke this. EMP kills electronics, not people.",1,1,1,1,1,-1,"Commenter's claims have no basis in science, but they aren't insulting anyone in the conversation aside from the writer.",3,A
